Title,Author,Original Publication Year,Read Count
What Is Property?,Pierre-Joseph Proudhon,1840,0
Madame Bovary,Gustave Flaubert,1856,1
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,1969,0
Classical Mechanics,John R. Taylor,2003,0
Homage to Catalonia,George Orwell,1938,1
Utopia,Thomas More,1516,1
Narrative of the Life of Fredrick Douglass,Frederick Douglass,1845,1
The Principles of Communism,Friedrich Engels,1847,1
An Answer to the Question: What Is Enlightenment?,Immanuel Kant,1784,1
The Bell Jar,Sylvia Plath,1963,2
Anti-Dühring: Herr Eugen Dühring's Revolution in Science,Friedrich Engels,1878,0
The Three Sources and Three Component Parts of Marxism. Karl Marx. Frederick Engels,Vladimir Lenin,1899,1
The Culture Industry,Theodor W. Adorno,1944,1
No Exit,Jean-Paul Sartre,1944,1
Blackshirts and Reds: Rational Fascism and the Overthrow of Communism,Michael Parenti,1997,0
Cloud Cuckoo Land,Anthony Doerr,2021,0
The White Tiger,Aravind Adiga,2008,0
One-Dimensional Man: Studies in the Ideology of Advanced Industrial Society,Douglas Kellner,1964,0
Dialectic of Enlightenment: Philosophical Fragments,Theodor W. Adorno,1944,0
The Age of Innocence,Edith Wharton,1920,1
Learn You a Haskell for Great Good!,Miran Lipovača,2011,2
Thus Spoke Zarathustra,Friedrich Nietzsche,1883,2
The Nicomachean Ethics,Aristotle,-349,1
Of Human Freedom (Penguin Great Ideas),Epictetus,100,1
Island,Aldous Huxley,1962,1
Utopia for Realists: How We Can Build the Ideal World,Rutger Bregman,2014,1
Dubliners,James Joyce,1914,1
The Fall,Albert Camus,1956,1
Master Harold...and the boys,Athol Fugard,1982,1
A Streetcar Named Desire,Tennessee Williams,1947,1
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,1985,1
On Suicide,David Hume,1775,1
The Ten Equations That Rule the World: And How You Can Use Them Too,David Sumpter,2020,1
For the Love of Physics: From the End of the Rainbow to the Edge of Time - A Journey Through the Wonders of Physics,Walter Lewin,2011,1
Combat Liberalism,Mao Zedong,1937,1
Caffeine: How Caffeine Created the Modern World,Michael Pollan,2020,1
Reform or Revolution,Rosa Luxemburg,1898,1
Wage Labour and Capital,Karl Marx,1891,1
The Art of War,Sun Tzu,-400,1
A People's History of the United States,Howard Zinn,1980,0
Mein Kampf,Adolf Hitler,1925,1
Democracy in America,Alexis de Tocqueville,1835,1
Progress and Poverty,Henry George,1879,1
The Old Man and the Sea,Ernest Hemingway,1952,1
Imperialism: The Highest Stage of Capitalism,Vladimir Lenin,1916,1
Man Alone with Himself,Friedrich Nietzsche,1878,1
Beyond Good and Evil,Friedrich Nietzsche,1886,1
The Communist Manifesto,Karl Marx,1848,1
